ANNO;PROV;COMUNE;TOT_INC;TOT_INC_MORTALI;TOT_FERITI;TOT_MORTI;TOT_VEIC_COINVOLTI;TOT_VEIC_CONDUC_IGNOTO;TOT_CONDUC;CONDUC_FEMMINE;CONDUC_FERITI;CONDUC_MORTI_ENTRO24h;CONDUC_IGNOTI;CONDUC_ETA_0-14_INC;CONDUC_ETA_15-19_INC;CONDUC_ETA_20-64_INC;CONDUC_ETA_65+_INC;CONDUC_ETA_0-14_FERITI;CONDUC_ETA_15-19_FERITI;CONDUC_ETÀ_20-64_FERITI;CONDUC_ETA_65+_FERITI;CONDUC_ETA_0-14_MORTI;CONDUC_ETA_15-19_MORTI;CONDUC_ETA_20-64_MORTI;CONDUC_ETA_65+_MORTI;PASSEGGERI_FERITI;PASSEGGERI_MORTI;PEDONI_FERITI;PEDONI_MORTI;STRADE_URBANE_INC;STRADE_URBANE_FERITI;STRADE_URBANE_MORTI;STRADE_EXTRAURB_INC;STRADE_EXTRAURB_FERITI;STRADE_EXTRAURB_MORTI;AUTOSTR_INC;AUTOSTR_FERITI;AUTOSTR_MORTI;INC_TRA_VEIC_IN_MARCIA;INC_TRA_VEIC_E_PEDONE;INC_TRA_VEIC_ISOLATI;WEEKEND_INC;FERIALI_INC;NOTTE_INC;GIORNO_INC;ORE_07-09_INC;ORE_17-19_INC;SERENO_INC;NEBBIA_INC;PIOGGIA-NEVE_INC;VEIC_COINVOLTI_AUTOVET_(PRIV_E_PUB);VEIC_COINVOLTI_AUTOCAR_E_SIMILI;VEIC_COINVOLTI_MOTOCICLI;VEIC_COINVOLTI_VELOCIPEDI
2000;MANTOVA;SABBIONETA;18;0;24;0;30;0;29;9;17;12;1;0;0;21;6;0;0;13;3;0;0;0;0;6;0;1;0;8;12;0;10;12;0;0;0;0;11;1;6;5;13;3;15;5;1;9;1;4;21;2;4;2
2000;MANTOVA;SAN BENEDETTO PO;31;1;48;1;57;0;57;12;34;22;0;1;8;44;4;1;4;27;2;0;1;0;0;14;0;0;0;12;14;1;18;32;0;1;2;0;19;0;12;12;19;4;27;3;5;19;1;6;42;3;7;5
2000;MANTOVA;SAN GIACOMO DELLE SEGNATE;9;0;13;0;19;0;19;9;11;8;0;0;1;18;0;0;1;10;0;0;0;0;0;2;0;0;0;7;11;0;2;2;0;0;0;0;8;0;1;3;6;1;8;4;0;7;0;2;14;1;3;1
2000;MANTOVA;SAN GIORGIO DI MANTOVA;34;1;61;1;59;0;59;14;30;29;0;1;1;50;6;1;1;25;3;0;0;0;0;31;1;0;0;11;17;0;7;9;0;16;35;1;20;0;14;8;26;11;23;5;3;25;0;6;45;8;4;2
2000;MANTOVA;SAN GIOVANNI DEL DOSSO;3;0;4;0;4;0;4;0;3;1;0;0;1;3;0;0;1;2;0;0;0;0;0;1;0;0;0;1;1;0;2;3;0;0;0;0;1;0;2;1;2;2;1;0;0;3;0;0;3;0;1;0
2000;MANTOVA;SAN MARTINO DALL'ARGINE;1;0;1;0;2;0;2;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1
2000;MANTOVA;SCHIVENOGLIA;4;0;5;0;7;0;7;2;5;2;0;0;1;5;1;0;1;4;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;2;0;2;2;2;0;4;1;0;3;0;1;3;1;3;0
2000;MANTOVA;SERMIDE;13;1;19;1;23;0;23;1;13;9;0;0;2;15;6;0;2;9;2;0;0;0;1;6;0;0;0;7;6;1;6;13;0;0;0;0;9;0;4;5;8;3;10;1;2;11;0;1;15;1;4;2
2000;MANTOVA;SERRAVALLE A PO;5;1;6;1;7;0;7;1;4;2;0;0;0;6;1;0;0;3;1;0;0;1;0;1;0;1;0;0;0;0;5;6;1;0;0;0;2;1;2;3;2;2;3;0;2;2;0;1;6;0;0;1
2001;LODI;GRAFFIGNANA;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0
