ANNO_INCIDENTE;PROV;COD_COM;COMUNE;TOT_INC;DI_CUI_INC_MORTALI;TOT_FERITI;TOT_MORTI;VEIC_COINVOLTI_(IDENTIFICATO_CONDUCENTE);DI_CUI_ALTRI_VEIC_COINVOLTI;CONDUC_TOTALI;DI_CUI_CONDUC_FEMMINE;PASSEGGERI_INFORTUNATI;DI_CUI_PASSEGGERI_INFORTUNATI_FEMMINE;PEDONI_INFORTUNATI;DI_CUI_PEDONI_INFORTUNATI_FEMMINE;CONDUC_FERITI;CONDUC_MORTI_ENTRO24h;CONDUC_IGNOTI;CONDUC_MORTI_ENTRO30gg;CONDUC_ETÀ_0-14_INC;CONDUC_ETÀ_15-19_INC;CONDUC_ETÀ_20-64_INC;CONDUC_ETÀ_65_E_OLTRE_INC;CONDUC_ETÀ_0-14_FERITI;CONDUC_ETÀ_15-19_FERITI;CONDUC_ETÀ_20-64_FERITI;CONDUC_ETÀ_65_E_OLTRE_FERITI;CONDUC_ETÀ_0-14_MORTI;CONDUC_ETÀ_15-19_MORTI;CONDUC_ETÀ_20-64_MORTI;CONDUC_ETÀ_65_E_OLTRE_MORTI;PASSEGGERI_FERITI;PASSEGGERI_MORTI;PEDONI_FERITI;PEDONI_MORTI;ALTRI_VEIC_FERITI;ALTRI_VEIC_MORTI;INTERSEZIONE_INC;INTERSEZIONE_FERITI;NON_INTERSEZIONE_MORTI_ENTRO24h;NON_INTERSEZIONE_INC;NON_INTERSEZIONE_FERITI;NON_INTERSEZIONE_MORTI__ENTRO30gg;STRADE_URBANE_INC;STRADE_URBANE_FERITI;STRADE_URBANE_MORTI;STRADE_EXTRAURB_(NO_AUTOSTR)_INC;STRADE_EXTRAURB_(NO_AUTOSTR)_FERITI;STRADE_EXTRAURB_(NO_AUTOSTR)_MORTI;AUTOSTR_INC;AUTOSTR_FERITI;AUTOSTR_MORTI;INC_TRA_VEIC_IN_MARCIA;INC_TRA_VEIC_IN_MARCIA_FERITI;INC_TRA_VEIC_IN_MARCIA_MORTI;INC_TRA_VEIC_E_PEDONE;INC_TRA_VEIC_E_PEDONE_FERITI;INC_TRA_VEIC_E_PEDONE_MORTI;INC_TRA_VEIC_ISOLATI;INC_TRA_VEIC_ISOLATI_FERITI;INC_TRA_VEIC_ISOLATI_MORTI;WEEKEND_INC;WEEKEND_FERITI;WEEKEND_MORTI;FERIALI_INC;FERIALI_FERITI;FERIALI_MORTI;NOTTE_INC;NOTTE_FERITI;NOTTE_MORTI;GIORNO_INC;GIORNO_FERITI;GIORNO_MORTI;ORE_DI_PUNTA_07-09_INC;ORE_DI_PUNTA_07-09_FERITI;ORE_DI_PUNTA_07-09_MORTI;ORE_DI_PUNTA_17-19_INC;ORE_DI_PUNTA_17-19_FERITI;ORE_DI_PUNTA_17-19_MORTI;SERENO_INC;SERENO_FERITI;SERENO_MORTI;NEBBIA_INC;NEBBIA_FERITI;NEBBIA_MORTI;PIOGGIA-NEVE_INC;PIOGGIA-NEVE_FERITI;PIOGGIA-NEVE_MORTI;VEIC_COINVOLTI_AUTOVET_(PRIV_E_PUB);AUTOVET_(PRIV_E_PUB)_FERITI;AUTOVET_(PRIV_E_PUB)_MORTI;VEIC_COINVOLTI_AUTOCAR_E_SIMILI;AUTOCAR_E_SIMILI_FERITI;AUTOCAR_E_SIMILI_MORTI;VEIC_COINVOLTI_MOTOCICLI;MOTOCICLI_FERITI;MOTOCICLI_MORTI;VEIC_COINVOLTI_VELOCIPEDI;VELOCIPEDI_FERITI;VELOCIPEDI_MORTI
2000;BRESCIA;17024;BOVEGNO;4;;4;0;6;;6;1;0;0;0;0;4;2;0;0;0;0;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;3;0;1;1;0;2;2;0;2;2;0;;;;2;2;0;0;0;0;2;2;0;2;2;0;2;2;0;2;2;0;2;2;0;1;1;0;0;0;0;2;2;0;0;0;0;1;1;0;4;3;0;1;1;0;1;0;0;;;
2000;BRESCIA;17025;BOVEZZO;17;1;29;1;30;;30;5;11;3;0;0;18;11;0;1;0;2;26;1;0;2;16;0;0;0;0;1;11;0;0;0;0;0;8;11;1;9;18;0;16;29;0;;;;;;;13;26;0;0;0;0;4;3;1;6;8;0;11;21;1;2;2;0;15;27;1;1;1;0;5;11;1;11;18;1;0;0;0;1;6;0;23;27;1;1;1;0;6;1;0;;;
2000;BRESCIA;17026;BRANDICO;4;;5;0;7;;7;1;0;0;1;1;4;3;0;0;0;0;5;2;0;0;2;2;0;0;0;0;0;0;1;0;0;0;1;1;0;3;4;0;3;4;0;1;1;0;;;;3;3;0;1;2;0;0;0;0;1;1;0;3;4;0;1;1;0;3;4;0;0;0;0;1;1;0;3;4;0;0;0;0;1;1;0;3;3;0;;;;4;2;0;;;
2000;BRESCIA;17027;BRAONE;3;;6;0;5;;5;2;3;2;0;0;3;2;0;0;0;0;5;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;6;0;;;;2;5;0;1;1;0;;;;2;5;0;0;0;0;1;1;0;0;0;0;3;6;0;;;;3;6;0;0;0;0;2;3;0;0;0;0;0;0;0;1;2;0;4;5;0;;;;1;1;0;;;
2000;BRESCIA;17028;BRENO;6;1;16;1;10;1;9;2;6;5;2;1;6;3;0;0;0;0;9;0;0;0;6;0;0;0;0;0;7;1;2;0;1;0;6;16;1;;;;5;5;1;1;11;0;;;;1;11;0;2;2;0;3;3;1;2;12;0;4;4;1;;;;6;16;1;2;2;1;0;0;0;4;14;0;0;0;0;1;1;1;7;15;1;;;;2;1;0;;;
2000;BRESCIA;17029;BRESCIA;1495;15;2095;15;2942;76;2855;651;567;324;124;65;1407;1437;10;11;13;163;2399;126;11;127;1147;63;0;0;10;1;564;3;123;1;1;0;709;957;9;786;1138;6;1327;1800;12;114;189;1;51;98;2;1141;1657;10;111;124;1;243;314;4;438;690;6;1057;1405;9;354;552;8;1136;1536;7;148;188;2;316;420;2;1060;1461;11;9;11;0;271;385;1;2144;1720;10;195;154;1;424;181;1;71;18;0
2000;BRESCIA;17031;CAINO;15;;23;0;26;;26;3;6;3;1;0;16;10;0;0;0;1;23;2;0;0;15;1;0;0;0;0;6;0;1;0;0;0;14;22;0;1;1;0;6;10;0;9;13;0;;;;9;15;0;1;1;0;5;7;0;10;18;0;5;5;0;2;4;0;13;19;0;1;1;0;3;3;0;12;14;0;0;0;0;1;3;0;13;16;0;2;;;8;7;0;2;;
2000;BRESCIA;17047;CEDEGOLO;1;;4;0;1;;1;0;3;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;4;0;;;;1;4;0;;;;;;;0;0;0;0;0;0;1;4;0;1;4;0;0;0;0;;;;1;4;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;1;4;0;;;;0;0;0;;;
2000;BRESCIA;17032;CALCINATO;69;5;115;6;139;11;128;16;50;18;3;2;66;60;0;2;0;6;107;5;0;4;55;3;0;0;2;0;46;4;3;0;0;0;56;96;6;13;19;0;22;34;1;19;36;4;28;45;1;43;79;1;2;3;0;24;33;5;25;44;4;44;71;2;26;38;4;43;77;2;6;9;0;12;19;1;51;83;3;1;2;0;9;15;2;85;89;5;29;20;0;14;6;1;;;
2000;BRESCIA;17033;CALVAGESE DELLA RIVIERA;18;;25;0;37;;37;15;4;2;1;0;20;17;0;0;1;1;24;6;1;0;14;4;0;0;0;0;4;0;1;0;0;0;9;13;0;9;12;0;14;18;0;4;7;0;;;;15;22;0;1;1;0;2;2;0;4;5;0;14;20;0;;;;18;25;0;3;4;0;8;11;0;12;15;0;0;0;0;3;6;0;32;23;0;1;1;0;2;1;0;2;;
